mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__class_weight,param_svm__gamma,param_svm__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
32.80528001785278,0.2582782585150638,10.160157012939454,0.07873401736380156,0.301,balanced,scale,rbf,"{'svm__C': 0.301, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.9325153374233128,0.9230769230769231,0.9148264984227129,0.9312977099236641,0.896551724137931,0.9196536385969087,0.013188830913512056,117
20.38348259925842,0.9852911215450803,4.354289865493774,0.03091978562598185,0.301,balanced,scale,sigmoid,"{'svm__C': 0.301, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid'}",0.9355322338830585,0.9461077844311377,0.9240121580547113,0.9436201780415431,0.9367469879518072,0.9372038684724515,0.007713275227059894,15
15.558157157897949,0.22508608637885152,3.2210268497467043,0.0724910928810798,0.301,balanced,auto,linear,"{'svm__C': 0.301, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto', 'svm__kernel': 'linear'}",0.9323529411764706,0.9333333333333333,0.9170437405731523,0.9394387001477105,0.9237668161434978,0.9291871062748328,0.007863202427155129,57
44.73968238830567,0.6508601222492143,8.512852382659911,0.4136534643217697,0.301,balanced,auto,poly,"{'svm__C': 0.301, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto', 'svm__kernel': 'poly'}",0.17941952506596306,0.1711229946524064,0.11570247933884298,0.18997361477572558,0.18037135278514588,0.16731799332361677,0.02649057857483913,181
33.47827639579773,0.3282403397649294,10.399062585830688,0.19926952604686396,0.301,balanced,auto,rbf,"{'svm__C': 0.301, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto', 'svm__kernel': 'rbf'}",0.9325153374233128,0.9230769230769231,0.9148264984227129,0.9312977099236641,0.896551724137931,0.9196536385969087,0.013188830913512056,117
20.563508367538454,0.9404789938774066,4.453944444656372,0.053882696996869574,0.301,balanced,auto,sigmoid,"{'svm__C': 0.301, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto', 'svm__kernel': 'sigmoid'}",0.9355322338830585,0.9461077844311377,0.9240121580547113,0.9436201780415431,0.9367469879518072,0.9372038684724515,0.007713275227059894,15
15.904106426239014,0.23727542426890894,3.311136245727539,0.16339654323671457,0.401,,scale,linear,"{'svm__C': 0.401, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.9323529411764706,0.9333333333333333,0.9170437405731523,0.9394387001477105,0.9237668161434978,0.9291871062748328,0.007863202427155129,57
43.96056108474731,1.2010002450456796,8.580822563171386,1.1754873230607539,0.401,,scale,poly,"{'svm__C': 0.401, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.11538461538461539,0.11049723756906077,0.06779661016949153,0.1307901907356948,0.1307901907356948,0.11105176891891147,0.02310541241175058,191
30.94922819137573,0.3073899184479982,9.480421209335328,0.13048152123228593,0.401,,scale,rbf,"{'svm__C': 0.401, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.917057902973396,0.9131121642969984,0.8956661316211878,0.9237947122861586,0.8760064412238325,0.9051274704803147,0.017274882051233332,137
18.287457323074342,0.9973454409940595,3.9150745391845705,0.10607495995107731,0.401,,scale,sigmoid,"{'svm__C': 0.401, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid'}",0.9315068493150684,0.9337442218798151,0.9161490683229814,0.9473684210526315,0.9214175654853621,0.9300372252111717,0.010802327565324557,53
